Name,Type,Brokerage,City,Sales Volume,Transactions,Website
Wendy Zheng,Individual,RE/MAX Realtron Wendy Zheng Realty,"Toronto, ON",N/A,"1,315+ career deals",wendyzheng.ca
Alexander J. Wilson,Individual,RE/MAX Wealth Builders Real Estate,"Toronto, ON",N/A,N/A,remaxwealth.com
Penny (Lu) Pei,Individual,RE/MAX Realtron Lucky Penny Homes,"Toronto, ON",N/A,N/A,
Claudio Cerrito,Individual,RE/MAX Hallmark Realty,"Toronto, ON",N/A,N/A,
Christine Zhu,Individual,RE/MAX Realtron Realty Inc.,"Toronto, ON",N/A,N/A,
Ross Talibov,Individual,Forest Hill Real Estate Inc.,"Toronto, ON",N/A,N/A,
Martin Dumont,Individual,eXp Realty,"Montreal, QC",N/A,89+ client reviews (2024),
Wassim Ibrahim,Individual,RE/MAX 3000,"Montreal, QC",N/A,N/A,
Amy Assaad Team,Team,Royal LePage Du Cartier,"Montreal, QC",$171 Million (2021),30+ (2021),amyassaad.ca
Groupe Montanaro,Team,RE/MAX Action,"Montreal, QC",N/A,N/A,
Justin Havre Real Estate Team,Team,eXp Realty,"Calgary, AB",N/A,Top sales 2024,justinhavre.com
Mark D. Verzyl,Individual,eXp Realty,"Calgary, AB","$76,922,526 (2022)",N/A,
Simon D. Hunt,Individual,RE/MAX House of Real Estate,"Calgary, AB",N/A,N/A,simonhunt.ca
Popowich & Company,Team,eXp Realty,"Calgary, AB",N/A,Top 10 team (2024),popowichrealestate.com
Rachel Vanderveen,Individual,eXp Realty,"Calgary, AB","$96,355,611 (2022)",N/A,
MetroCity Property Group,Team,eXp Realty,"Ottawa, ON",N/A,Top 5 team (2024),metrocitypropertygroup.com
Hamre Real Estate Team,Team,RE/MAX Affiliates Realty,"Ottawa, ON",N/A,N/A,hameteam.com
Paul Rushforth Team,Team,Paul Rushforth Real Estate Inc.,"Ottawa, ON",N/A,"7,000+ homes (career)",paulrushforth.com
The Jennifer Jones Team,Team,eXp Realty,"Toronto, ON","$275,806,247 (2022)",N/A,jenniferjones.ca
